repository_language,date,activity
M,2014-02,569
xBase,2014-02,561
Ada,2014-02,513
XQuery,2014-02,506
UnrealScript,2014-02,502
Kotlin,2014-02,482
Gosu,2014-02,469
Brightscript,2014-02,449
AutoIt,2014-02,420
Agda,2014-02,407
Xtend,2014-02,383
Io,2014-02,373
Pure Data,2014-02,338
Dylan,2014-02,293
Prolog,2014-02,291
MoonScript,2014-02,262
SuperCollider,2014-02,253
NetLogo,2014-02,253
Scilab,2014-02,245
XC,2014-02,235
Nemerle,2014-02,233
Elm,2014-02,233
Perl6,2014-02,224
Idris,2014-02,219
Bluespec,2014-02,214
HaXe,2014-02,210
Awk,2014-02,205
Eiffel,2014-02,178
Boo,2014-02,178
Pike,2014-02,175
Squirrel,2014-02,166
Slash,2014-02,158
Arc,2014-02,157
Factor,2014-02,155
Crystal,2014-02,148
Logtalk,2014-02,140
COBOL,2014-02,138
REALbasic,2014-02,126
XProc,2014-02,125
Ceylon,2014-02,123
ooc,2014-02,121
Delphi,2014-02,108
Augeas,2014-02,97
J,2014-02,86
ANTLR,2014-02,85
Clean,2014-02,81
PogoScript,2014-02,68
Parrot,2014-02,68
Nu,2014-02,58
Ecl,2014-02,55
CLIPS,2014-02,55
Ragel in Ruby Host,2014-02,54
Oxygene,2014-02,52
Rebol,2014-02,50
Monkey,2014-02,50
ABAP,2014-02,44
Self,2014-02,43
wisp,2014-02,39
Fancy,2014-02,38
Turing,2014-02,37
Bro,2014-02,36
RobotFramework,2014-02,36
DCPU-16 ASM,2014-02,31
Mirah,2014-02,29
Volt,2014-02,22
eC,2014-02,21
Omgrofl,2014-02,21
Glyph,2014-02,18
Opa,2014-02,17
Forth,2014-02,13
Fantom,2014-02,8
TXL,2014-02,4
Ioke,2014-02,1
JavaScript,2014-01,1321264
Java,2014-01,759681
Python,2014-01,621472
Ruby,2014-01,574241
PHP,2014-01,566964
CSS,2014-01,466448
C++,2014-01,337256
C,2014-01,327973
Shell,2014-01,194108
Objective-C,2014-01,176866
C#,2014-01,156809
Go,2014-01,72596
VimL,2014-01,55666
Perl,2014-01,54671
CoffeeScript,2014-01,54097
Scala,2014-01,45529
TeX,2014-01,39654
Clojure,2014-01,34220
Lua,2014-01,31267
R,2014-01,29374
Emacs Lisp,2014-01,27390
Haskell,2014-01,27189
TypeScript,2014-01,18764
Puppet,2014-01,16942
Groovy,2014-01,13906
Erlang,2014-01,13436
Matlab,2014-01,12160
ActionScript,2014-01,10577
Rust,2014-01,10316
Dart,2014-01,9007
OCaml,2014-01,8769
XSLT,2014-01,8088
Common Lisp,2014-01,7481
Arduino,2014-01,6924
Julia,2014-01,6602
D,2014-01,6468
Processing,2014-01,5434
DM,2014-01,5380
Assembly,2014-01,5004
Scheme,2014-01,4990
PowerShell,2014-01,4859
Visual Basic,2014-01,4846
Haxe,2014-01,4686
F#,2014-01,4512
ASP,2014-01,3573
Pascal,2014-01,3513
IDL,2014-01,3346
FORTRAN,2014-01,3320
Elixir,2014-01,3145
VHDL,2014-01,2757
Racket,2014-01,2338
ColdFusion,2014-01,2253
Vala,2014-01,2042
nesC,2014-01,2001
LiveScript,2014-01,1955
Logos,2014-01,1793
BlitzBasic,2014-01,1679
Tcl,2014-01,1551
XML,2014-01,1525
Verilog,2014-01,1449
DOT,2014-01,1404
AutoHotkey,2014-01,1160
Lasso,2014-01,1004
Apex,2014-01,948
Standard ML,2014-01,899
OpenEdge ABL,2014-01,887
AppleScript,2014-01,881
Coq,2014-01,852
Smalltalk,2014-01,799
Max,2014-01,712
Io,2014-01,666
M,2014-01,639
UnrealScript,2014-01,622
Objective-J,2014-01,605
XQuery,2014-01,572
Ada,2014-01,571
xBase,2014-01,556
AutoIt,2014-01,486
Xtend,2014-01,475
Eiffel,2014-01,446
Nimrod,2014-01,427
Dylan,2014-01,424
Slash,2014-01,421
Elm,2014-01,419
Agda,2014-01,403
Perl6,2014-01,367
Awk,2014-01,363
Prolog,2014-01,362
Gosu,2014-01,358
Brightscript,2014-01,322
Kotlin,2014-01,320
SuperCollider,2014-01,293
XC,2014-01,285
Ceylon,2014-01,282
Scilab,2014-01,227
HaXe,2014-01,223
ooc,2014-01,217
Pure Data,2014-01,212
Bluespec,2014-01,201
Nemerle,2014-01,200
Idris,2014-01,195
Crystal,2014-01,194
MoonScript,2014-01,192
COBOL,2014-01,187
Squirrel,2014-01,184
Arc,2014-01,140
XProc,2014-01,133
Logtalk,2014-01,130
Pike,2014-01,121
NetLogo,2014-01,118
Delphi,2014-01,108
ANTLR,2014-01,102
Boo,2014-01,101
Factor,2014-01,92
Parrot,2014-01,88
DCPU-16 ASM,2014-01,87
REALbasic,2014-01,81
Self,2014-01,74
CLIPS,2014-01,72
Oxygene,2014-01,66
Augeas,2014-01,66
Mirah,2014-01,64
Bro,2014-01,53
Ragel in Ruby Host,2014-01,49
Ecl,2014-01,47
Clean,2014-01,47
Forth,2014-01,40
PogoScript,2014-01,38
KRL,2014-01,36
Monkey,2014-01,33
Nu,2014-01,28
Turing,2014-01,24
Volt,2014-01,21
J,2014-01,19
Glyph,2014-01,18
Fantom,2014-01,17
ABAP,2014-01,12
Opa,2014-01,9
Rouge,2014-01,5
Omgrofl,2014-01,4
Fancy,2014-01,4
Rebol,2014-01,4
Ioke,2014-01,3
eC,2014-01,1
RobotFramework,2014-01,1
wisp,2014-01,1
TXL,2014-01,1
JavaScript,2013-12,1183777
Java,2013-12,693391
Python,2013-12,521387
Ruby,2013-12,518196
PHP,2013-12,466259
CSS,2013-12,406772
C++,2013-12,314785
C,2013-12,309699
Shell,2013-12,185826
Objective-C,2013-12,157848
C#,2013-12,138929
Go,2013-12,61515
VimL,2013-12,51070
Perl,2013-12,48473
CoffeeScript,2013-12,47929
Scala,2013-12,37942
TeX,2013-12,33668
Lua,2013-12,25510
Emacs Lisp,2013-12,24466
Haskell,2013-12,22787
Clojure,2013-12,22450
R,2013-12,20120
Matlab,2013-12,15033
Puppet,2013-12,14746
TypeScript,2013-12,13962
Erlang,2013-12,12667
Groovy,2013-12,11693
ActionScript,2013-12,11227
OCaml,2013-12,9836
Rust,2013-12,7287
Logos,2013-12,6996
Dart,2013-12,6587
D,2013-12,6544
Arduino,2013-12,6301
XSLT,2013-12,5547
Julia,2013-12,5224
Processing,2013-12,5009
Common Lisp,2013-12,4522
F#,2013-12,4409
Assembly,2013-12,4241
Visual Basic,2013-12,4115
PowerShell,2013-12,4107
Haxe,2013-12,3631
ASP,2013-12,3339
DM,2013-12,3298
Scheme,2013-12,3234
Elixir,2013-12,3181
FORTRAN,2013-12,2708
Prolog,2013-12,2662
Racket,2013-12,2168
Pascal,2013-12,2092
Verilog,2013-12,1999
VHDL,2013-12,1922
Vala,2013-12,1881
Oxygene,2013-12,1831
LiveScript,2013-12,1567
DOT,2013-12,1566
ColdFusion,2013-12,1507
XML,2013-12,1323
Lasso,2013-12,1231
nesC,2013-12,1214
Tcl,2013-12,1203
Coq,2013-12,1051
Standard ML,2013-12,1000
BlitzBasic,2013-12,990
AutoHotkey,2013-12,918
OpenEdge ABL,2013-12,832
Nimrod,2013-12,766
Max,2013-12,664
Smalltalk,2013-12,633
Objective-J,2013-12,624
Apex,2013-12,603
Ada,2013-12,589
M,2013-12,524
AppleScript,2013-12,510
Eiffel,2013-12,425
XQuery,2013-12,419
IDL,2013-12,377
