repository_language,month,pushes
LiveScript,2014-07-01,3149
BlitzBasic,2014-07-01,1307
Dart,2014-07-01,6098
Ceylon,2014-07-01,184
Verilog,2014-07-01,1342
D,2014-07-01,4421
Tcl,2014-07-01,1186
AutoIt,2014-07-01,278
Nix,2014-07-01,1389
Elixir,2014-07-01,3047
Gosu,2014-07-01,577
Assembly,2014-07-01,8395
Xtend,2014-07-01,470
Clojure,2014-07-01,14362
Perl,2014-07-01,41273
Puppet,2014-07-01,13204
Ada,2014-07-01,291
TypeScript,2014-07-01,11049
XSLT,2014-07-01,5638
PowerShell,2014-07-01,5401
Java,2014-07-01,594382
Bluespec,2014-07-01,346
C,2014-07-01,215925
Gnuplot,2014-07-01,502
BlitzMax,2014-07-01,83
SAS,2014-07-01,398
JavaScript,2014-07-01,996374
Eiffel,2014-07-01,532
Prolog,2014-07-01,1034
FLUX,2014-07-01,180
C++,2014-07-01,281209
Ruby,2014-07-01,363960
PHP,2014-07-01,389984
,2014-07-01,567869
C#,2014-07-01,138925
Arc,2014-07-01,68
CSS,2014-07-01,533638
Max,2014-07-01,613
NetLogo,2014-06-01,133
Logtalk,2014-06-01,108
Mercury,2014-06-01,372
REALbasic,2014-06-01,56
Mirah,2014-06-01,5
Monkey,2014-06-01,33
Pan,2014-06-01,74
Pure Data,2014-06-01,403
Red,2014-06-01,87
Squirrel,2014-06-01,191
XC,2014-06-01,185
eC,2014-06-01,46
Clean,2014-06-01,79
PogoScript,2014-06-01,3
Inform 7,2014-06-01,445
Common Lisp,2014-06-01,3208
D,2014-06-01,4093
Assembly,2014-06-01,3444
Dogescript,2014-06-01,20
Erlang,2014-06-01,8191
UnrealScript,2014-06-01,210
Alloy,2014-06-01,30
Grammatical Framework,2014-06-01,12
Xtend,2014-06-01,464
Zephir,2014-06-01,13
Dart,2014-06-01,4470
Fancy,2014-06-01,2
Puppet,2014-06-01,13648
Bluespec,2014-06-01,244
Arduino,2014-06-01,5522
BlitzBasic,2014-06-01,805
XML,2014-06-01,801
Smalltalk,2014-06-01,1473
Objective-C++,2014-06-01,1101
SQL,2014-06-01,5392
Vala,2014-06-01,1244
ANTLR,2014-06-01,130
DCPU-16-01 ASM,2014-06-01,1
FORTRAN,2014-06-01,4111
JSONiq,2014-06-01,44
Haxe,2014-06-01,3110
wisp,2014-06-01,9
AutoHotkey,2014-06-01,857
Moocode,2014-06-01,1
Idris,2014-06-01,187
DOT,2014-06-01,402
AspectJ,2014-06-01,120
Nemerle,2014-06-01,274
SAS,2014-06-01,1337
Factor,2014-06-01,227
Tcl,2014-06-01,1486
ASP,2014-06-01,3745
DM,2014-06-01,3378
F#,2014-06-01,3323
Perl6,2014-06-01,307
Pike,2014-06-01,106
Ox,2014-06-01,1
Ada,2014-06-01,495
