repository_language,month,pushes
Rebol,2013-07-01,92
C#,2013-07-01,69009
Java,2013-07-01,371268
eC,2013-07-01,22
Ruby,2013-07-01,337421
JavaScript,2013-07-01,785793
PHP,2013-07-01,278853
C++,2013-07-01,195560
,2013-07-01,369633
Clojure,2013-07-01,11897
Nu,2013-07-01,5
Ecl,2013-07-01,9
Arc,2013-07-01,81
XML,2013-07-01,890
Ragel in Ruby Host,2013-07-01,52
Io,2013-07-01,104
Dylan,2013-07-01,218
XProc,2013-07-01,106
Awk,2013-07-01,84
Bro,2013-07-01,21
Parrot,2013-07-01,153
Max,2013-07-01,56
Pure Data,2013-07-01,499
CSS,2013-07-01,8925
Kotlin,2013-07-01,181
Lasso,2013-07-01,325
Ceylon,2013-07-01,55
Scilab,2013-07-01,140
Boo,2013-07-01,33
XQuery,2013-07-01,160
Xtend,2013-07-01,178
Logos,2013-07-01,3317
ActionScript,2013-07-01,6354
ColdFusion,2013-07-01,1412
XSLT,2013-07-01,3546
Vala,2013-07-01,436
PowerShell,2013-07-01,1976
Common Lisp,2013-07-01,2783
Ada,2013-07-01,565
CoffeeScript,2013-07-01,23775
Delphi,2013-07-01,2562
F#,2013-07-01,1414
D,2013-07-01,3139
Assembly,2013-07-01,1861
Erlang,2013-07-01,6862
Eiffel,2013-07-01,190
Factor,2013-07-01,231
Coq,2013-07-01,504
OpenEdge ABL,2013-07-01,1037
Go,2013-07-01,20410
Scala,2013-07-01,22288
Arduino,2013-07-01,3457
Haskell,2013-07-01,14414
Perl,2013-07-01,36153
Visual Basic,2013-07-01,2656
Objective-C,2013-07-01,53724
Puppet,2013-07-01,9078
Matlab,2013-07-01,8104
ASP,2013-07-01,2154
Groovy,2013-07-01,7443
Slash,2013-07-01,144
Dart,2013-07-01,2672
VHDL,2013-07-01,839
Smalltalk,2013-07-01,636
Scheme,2013-07-01,2579
Verilog,2013-07-01,1000
ooc,2013-07-01,90
Gosu,2013-07-01,142
Objective-J,2013-07-01,206
AppleScript,2013-07-01,149
Mirah,2013-07-01,4
Monkey,2013-07-01,10
Pike,2013-07-01,25
XC,2013-07-01,87
wisp,2013-07-01,6
Nemerle,2013-07-01,189
ABAP,2013-07-01,6
Turing,2013-07-01,37
MoonScript,2013-07-01,65
Fancy,2013-07-01,21
DCPU-16-01 ASM,2013-07-01,15
PogoScript,2013-07-01,14
Augeas,2013-07-01,20
Logtalk,2013-07-01,16
Tcl,2013-07-01,808
Julia,2013-07-01,2311
Haxe,2013-07-01,1798
Nimrod,2013-07-01,231
FORTRAN,2013-07-01,2230
Elixir,2013-07-01,2010
Prolog,2013-07-01,1941
HaXe,2013-07-01,140
Processing,2013-07-01,1988
OCaml,2013-07-01,3352
LiveScript,2013-07-01,454
Racket,2013-07-01,2211
SuperCollider,2013-07-01,708
M,2013-07-01,288
AutoHotkey,2013-07-01,736
CLIPS,2013-07-01,68
Apex,2013-07-01,296
Standard ML,2013-07-01,617
DOT,2013-07-01,1319
C,2013-07-01,154590
Lua,2013-07-01,13177
Python,2013-07-01,329730
Emacs Lisp,2013-07-01,14623
Rust,2013-07-01,3609
R,2013-07-01,11310
VimL,2013-07-01,36209
Shell,2013-07-01,115076
TypeScript,2013-07-01,5088
Groovy,2013-06-01,7738
Ruby,2013-06-01,301555
Matlab,2013-06-01,8424
C++,2013-06-01,173563
C#,2013-06-01,69287
C,2013-06-01,154632
Lua,2013-06-01,12836
Clojure,2013-06-01,11994
PHP,2013-06-01,259043
JavaScript,2013-06-01,668798
,2013-06-01,335295
Java,2013-06-01,371006
eC,2013-06-01,11
Erlang,2013-06-01,6489
Shell,2013-06-01,97018
XSLT,2013-06-01,2503
Scala,2013-06-01,19849
VimL,2013-06-01,32075
Go,2013-06-01,18404
CoffeeScript,2013-06-01,21686
Objective-C,2013-06-01,48616
Perl,2013-06-01,34297
Delphi,2013-06-01,2721
Haskell,2013-06-01,13722
Racket,2013-06-01,2011
Assembly,2013-06-01,1955
Rust,2013-06-01,3010
VHDL,2013-06-01,849
Emacs Lisp,2013-06-01,13154
TypeScript,2013-06-01,4751
Rouge,2013-06-01,1
PogoScript,2013-06-01,21
OpenEdge ABL,2013-06-01,388
Parrot,2013-06-01,209
AppleScript,2013-06-01,211
Boo,2013-06-01,121
M,2013-06-01,214
Rebol,2013-06-01,116
SuperCollider,2013-06-01,398
Monkey,2013-06-01,53
ABAP,2013-06-01,3
HaXe,2013-06-01,148
Objective-J,2013-06-01,273
Max,2013-06-01,33
CLIPS,2013-06-01,69
Ecl,2013-06-01,9
Gosu,2013-06-01,176
Arc,2013-06-01,91
Ioke,2013-06-01,23
DCPU-16-01 ASM,2013-06-01,49
Turing,2013-06-01,41
Kotlin,2013-06-01,53
Logtalk,2013-06-01,23
Forth,2013-06-01,36
wisp,2013-06-01,4
Ceylon,2013-06-01,69
Ragel in Ruby Host,2013-06-01,38
Pike,2013-06-01,11
Python,2013-06-01,282602
XQuery,2013-06-01,118
LiveScript,2013-06-01,402
Arduino,2013-06-01,3195
Prolog,2013-06-01,1748
Processing,2013-06-01,2643
D,2013-06-01,3645
XML,2013-06-01,1331
Bro,2013-06-01,7
Mirah,2013-06-01,5
FORTRAN,2013-06-01,2199
Apex,2013-06-01,422
Fancy,2013-06-01,18
Nemerle,2013-06-01,107
Haxe,2013-06-01,1845
ASP,2013-06-01,2500
DOT,2013-06-01,1035
Julia,2013-06-01,2109
F#,2013-06-01,1546
Standard ML,2013-06-01,528
Tcl,2013-06-01,687
OCaml,2013-06-01,4061
ooc,2013-06-01,15
Vala,2013-06-01,427
Nu,2013-06-01,12
Augeas,2013-06-01,20
MoonScript,2013-06-01,26
Smalltalk,2013-06-01,504
Factor,2013-06-01,80
Xtend,2013-06-01,157
Coq,2013-06-01,389
Dylan,2013-06-01,76
Awk,2013-06-01,166
R,2013-06-01,10522
Eiffel,2013-06-01,186
Pure Data,2013-06-01,223
Nimrod,2013-06-01,167
Verilog,2013-06-01,950
Scheme,2013-06-01,2272
PowerShell,2013-06-01,1913
Visual Basic,2013-06-01,2286
Lasso,2013-06-01,446
AutoHotkey,2013-06-01,679
Logos,2013-06-01,4617
ColdFusion,2013-06-01,1446
Io,2013-06-01,168
Dart,2013-06-01,2863
Puppet,2013-06-01,7720
Common Lisp,2013-06-01,3256
ActionScript,2013-06-01,5679
Scilab,2013-06-01,166
XProc,2013-06-01,19
Ada,2013-06-01,323
Elixir,2013-06-01,1570
Opa,2013-06-01,15
Forth,2013-05-01,30
AppleScript,2013-05-01,174
Bro,2013-05-01,11
Fancy,2013-05-01,18
Ceylon,2013-05-01,54
Mirah,2013-05-01,2
Nu,2013-05-01,8
Dylan,2013-05-01,53
Monkey,2013-05-01,59
Pike,2013-05-01,5
Ragel in Ruby Host,2013-05-01,10
Rouge,2013-05-01,2
Fantom,2013-05-01,5
Opa,2013-05-01,5
eC,2013-05-01,7
Max,2013-05-01,28
Boo,2013-05-01,54
Augeas,2013-05-01,42
Arc,2013-05-01,28
CLIPS,2013-05-01,12
Gosu,2013-05-01,86
Objective-C,2013-05-01,51396
Ruby,2013-05-01,312118
Python,2013-05-01,290271
C++,2013-05-01,207717
C#,2013-05-01,78912
VimL,2013-05-01,33115
Shell,2013-05-01,104083
Scala,2013-05-01,21642
Puppet,2013-05-01,7859
Clojure,2013-05-01,12618
Go,2013-05-01,17833
TypeScript,2013-05-01,4668
CoffeeScript,2013-05-01,22422
FORTRAN,2013-05-01,2347
Standard ML,2013-05-01,11355
JavaScript,2013-05-01,672829
Haskell,2013-05-01,13564
Arduino,2013-05-01,3696
Emacs Lisp,2013-05-01,15751
Rust,2013-05-01,3443
Dart,2013-05-01,2677
F#,2013-05-01,1373
Logos,2013-05-01,5784
Groovy,2013-05-01,7532
ColdFusion,2013-05-01,1504
VHDL,2013-05-01,1458
ActionScript,2013-05-01,6369
Haxe,2013-05-01,2503
Lua,2013-05-01,13036
Java,2013-05-01,421288
MoonScript,2013-05-01,47
Nimrod,2013-05-01,185
DCPU-16-01 ASM,2013-05-01,61
ooc,2013-05-01,90
Rebol,2013-05-01,59
Elixir,2013-05-01,910
Xtend,2013-05-01,86
Parrot,2013-05-01,130
OpenEdge ABL,2013-05-01,345
Eiffel,2013-05-01,264
XQuery,2013-05-01,140
Ada,2013-05-01,451
Scilab,2013-05-01,179
Prolog,2013-05-01,1814
,2013-05-01,339723
Perl,2013-05-01,35732
C,2013-05-01,170374
PHP,2013-05-01,277779
Io,2013-05-01,150
PowerShell,2013-05-01,1922
PogoScript,2013-05-01,5
Apex,2013-05-01,381
Tcl,2013-05-01,759
SuperCollider,2013-05-01,628
Nemerle,2013-05-01,169
HaXe,2013-05-01,216
Vala,2013-05-01,650
Delphi,2013-05-01,3119
DOT,2013-05-01,1099
Lasso,2013-05-01,526
ASP,2013-05-01,2861
Visual Basic,2013-05-01,2444
XML,2013-05-01,3810
Scheme,2013-05-01,2704
Common Lisp,2013-05-01,2987
R,2013-05-01,10544
Racket,2013-05-01,2137
Julia,2013-05-01,2176
Erlang,2013-05-01,6801
Awk,2013-05-01,212
Kotlin,2013-05-01,104
Turing,2013-05-01,55
D,2013-05-01,3269
Pure Data,2013-05-01,376
AutoHotkey,2013-05-01,579
Objective-J,2013-05-01,288
Omgrofl,2013-05-01,2
Ecl,2013-05-01,39
LiveScript,2013-05-01,420
Factor,2013-05-01,204
Assembly,2013-05-01,2749
OCaml,2013-05-01,3962
Smalltalk,2013-05-01,585
Logtalk,2013-05-01,138
Verilog,2013-05-01,1184
Matlab,2013-05-01,10296
Coq,2013-05-01,1067
Processing,2013-05-01,2318
Nu,2013-04-01,129
Pike,2013-04-01,25
Ceylon,2013-04-01,50
C,2013-04-01,167192
PowerShell,2013-04-01,1720
Shell,2013-04-01,97064
PHP,2013-04-01,273598
,2013-04-01,342860
CoffeeScript,2013-04-01,20915
Objective-C,2013-04-01,55131
C#,2013-04-01,73263
Python,2013-04-01,285239
JavaScript,2013-04-01,641774
C++,2013-04-01,195143
Java,2013-04-01,422452
Ruby,2013-04-01,308832
Augeas,2013-04-01,38
Puppet,2013-04-01,8314
Xtend,2013-04-01,67
Fantom,2013-04-01,32
Logtalk,2013-04-01,53
Ioke,2013-04-01,9
Monkey,2013-04-01,44
CLIPS,2013-04-01,37
Scilab,2013-04-01,88
Io,2013-04-01,96
AppleScript,2013-04-01,212
Turing,2013-04-01,46
HaXe,2013-04-01,202
DCPU-16-01 ASM,2013-04-01,148
ABAP,2013-04-01,3
ooc,2013-04-01,85
eC,2013-04-01,3
Mirah,2013-04-01,1
Arc,2013-04-01,45
Ragel in Ruby Host,2013-04-01,39
PogoScript,2013-04-01,32
Max,2013-04-01,10
Boo,2013-04-01,91
Opa,2013-04-01,9
Rouge,2013-04-01,10
Bro,2013-04-01,11
Fancy,2013-04-01,2
ASP,2013-04-01,3468
Delphi,2013-04-01,2470
Dart,2013-04-01,3644
Common Lisp,2013-04-01,2901
VHDL,2013-04-01,1449
FORTRAN,2013-04-01,2066
Groovy,2013-04-01,7289
Ecl,2013-04-01,35
Factor,2013-04-01,646
Emacs Lisp,2013-04-01,16642
Prolog,2013-04-01,1477
Logos,2013-04-01,4731
D,2013-04-01,2590
Haxe,2013-04-01,2327
Racket,2013-04-01,1958
Julia,2013-04-01,2252
Lasso,2013-04-01,509
Processing,2013-04-01,3021
Erlang,2013-04-01,7200
Kotlin,2013-04-01,177
Verilog,2013-04-01,1865
Elixir,2013-04-01,593
R,2013-04-01,9719
Lua,2013-04-01,13907
Go,2013-04-01,15775
Arduino,2013-04-01,3591
Nemerle,2013-04-01,143
VimL,2013-04-01,35023
ColdFusion,2013-04-01,1706
Apex,2013-04-01,352
Objective-J,2013-04-01,231
XML,2013-04-01,4237
Visual Basic,2013-04-01,2586
Scheme,2013-04-01,2892
ActionScript,2013-04-01,6667
Forth,2013-04-01,16
OCaml,2013-04-01,3542
Haskell,2013-04-01,13566
TypeScript,2013-04-01,3458
DOT,2013-04-01,1239
Smalltalk,2013-04-01,715
Matlab,2013-04-01,11993
Scala,2013-04-01,20933
Perl,2013-04-01,33890
Clojure,2013-04-01,11234
Pure Data,2013-04-01,224
Awk,2013-04-01,143
Nimrod,2013-04-01,103
Dylan,2013-04-01,83
Ada,2013-04-01,526
Rebol,2013-04-01,29
LiveScript,2013-04-01,408
AutoHotkey,2013-04-01,464
MoonScript,2013-04-01,108
F#,2013-04-01,1453
Vala,2013-04-01,626
Assembly,2013-04-01,2699
Coq,2013-04-01,1053
XQuery,2013-04-01,193
Rust,2013-04-01,2155
Eiffel,2013-04-01,609
SuperCollider,2013-04-01,415
OpenEdge ABL,2013-04-01,415
Standard ML,2013-04-01,6725
Parrot,2013-04-01,131
Gosu,2013-04-01,117
Tcl,2013-04-01,518
Puppet,2013-03-01,7403
Julia,2013-03-01,2160
Shell,2013-03-01,90977
Logos,2013-03-01,2800
ActionScript,2013-03-01,6282
Groovy,2013-03-01,7208
Emacs Lisp,2013-03-01,15904
Go,2013-03-01,13910
Clojure,2013-03-01,12136
Assembly,2013-03-01,2234
Haskell,2013-03-01,15197
Vala,2013-03-01,680
CoffeeScript,2013-03-01,21912
Dart,2013-03-01,2682
Erlang,2013-03-01,7243
OCaml,2013-03-01,3477
CLIPS,2013-03-01,82
C,2013-03-01,161304
Bro,2013-03-01,20
TXL,2013-03-01,1
C++,2013-03-01,166615
Ruby,2013-03-01,304204
Python,2013-03-01,269934
,2013-03-01,370504
JavaScript,2013-03-01,614837
Java,2013-03-01,383778
VimL,2013-03-01,35189
Augeas,2013-03-01,26
Perl,2013-03-01,35025
Scala,2013-03-01,18849
PHP,2013-03-01,267789
C#,2013-03-01,65413
Objective-C,2013-03-01,77519
Matlab,2013-03-01,10688
Lasso,2013-03-01,1005
Pure Data,2013-03-01,190
SuperCollider,2013-03-01,228
Kotlin,2013-03-01,153
Factor,2013-03-01,722
Elixir,2013-03-01,514
Verilog,2013-03-01,1651
Rebol,2013-03-01,72
Coq,2013-03-01,412
Tcl,2013-03-01,714
Scilab,2013-03-01,134
Io,2013-03-01,105
ColdFusion,2013-03-01,1355
Eiffel,2013-03-01,459
Apex,2013-03-01,361
Parrot,2013-03-01,118
Gosu,2013-03-01,162
AppleScript,2013-03-01,207
Dylan,2013-03-01,154
Logtalk,2013-03-01,147
AutoHotkey,2013-03-01,379
eC,2013-03-01,17
Ceylon,2013-03-01,74
LiveScript,2013-03-01,275
Nimrod,2013-03-01,82
Standard ML,2013-03-01,531
Ioke,2013-03-01,17
Awk,2013-03-01,113
OpenEdge ABL,2013-03-01,358
Xtend,2013-03-01,114
FORTRAN,2013-03-01,1581
Lua,2013-03-01,13713
Common Lisp,2013-03-01,2817
Visual Basic,2013-03-01,2399
Scheme,2013-03-01,2892
DCPU-16-01 ASM,2013-03-01,116
HaXe,2013-03-01,819
Racket,2013-03-01,2145
Arduino,2013-03-01,2952
R,2013-03-01,9234
Objective-J,2013-03-01,336
Haxe,2013-03-01,1217
Prolog,2013-03-01,1598
PowerShell,2013-03-01,1875
F#,2013-03-01,1490
Ada,2013-03-01,334
TypeScript,2013-03-01,2315
D,2013-03-01,3046
ASP,2013-03-01,2305
VHDL,2013-03-01,1163
Delphi,2013-03-01,2472
Rust,2013-03-01,2255
ooc,2013-03-01,391
XML,2013-03-01,3193
Nemerle,2013-03-01,231
Boo,2013-03-01,62
XQuery,2013-03-01,221
Smalltalk,2013-03-01,692
DOT,2013-03-01,603
Processing,2013-03-01,984
Ecl,2013-03-01,6
Monkey,2013-03-01,58
PogoScript,2013-03-01,9
Arc,2013-03-01,7
Mirah,2013-03-01,6
Max,2013-03-01,8
Fantom,2013-03-01,30
Ragel in Ruby Host,2013-03-01,2
Turing,2013-03-01,15
Nu,2013-03-01,10
Fancy,2013-03-01,12
Pike,2013-03-01,8
Self,2013-03-01,2
Forth,2013-03-01,9
Scilab,2013-02-01,135
Gosu,2013-02-01,74
Elixir,2013-02-01,398
Bro,2013-02-01,67
Verilog,2013-02-01,731
FORTRAN,2013-02-01,1257
Julia,2013-02-01,1230
Arc,2013-02-01,24
AppleScript,2013-02-01,107
Self,2013-02-01,55
Puppet,2013-02-01,4966
ooc,2013-02-01,179
Dylan,2013-02-01,60
Boo,2013-02-01,52
Ioke,2013-02-01,11
Ecl,2013-02-01,47
HaXe,2013-02-01,1026
AutoHotkey,2013-02-01,208
eC,2013-02-01,28
VHDL,2013-02-01,687
Smalltalk,2013-02-01,462
Scheme,2013-02-01,1555
XQuery,2013-02-01,164
Turing,2013-02-01,15
Ceylon,2013-02-01,114
Max,2013-02-01,7
DCPU-16-01 ASM,2013-02-01,125
Pure Data,2013-02-01,120
SuperCollider,2013-02-01,103
Mirah,2013-02-01,4
Nemerle,2013-02-01,51
ColdFusion,2013-02-01,1188
OpenEdge ABL,2013-02-01,267
Tcl,2013-02-01,547
Rebol,2013-02-01,58
Augeas,2013-02-01,9
Eiffel,2013-02-01,186
F#,2013-02-01,780
Ada,2013-02-01,343
Logtalk,2013-02-01,101
Io,2013-02-01,108
Opa,2013-02-01,2
Apex,2013-02-01,246
Factor,2013-02-01,146
Parrot,2013-02-01,193
Scala,2013-02-01,16483
Haskell,2013-02-01,10713
ActionScript,2013-02-01,4700
Coq,2013-02-01,423
OCaml,2013-02-01,2890
Erlang,2013-02-01,5287
Ruby,2013-02-01,222689
C#,2013-02-01,42446
ASP,2013-02-01,1284
Standard ML,2013-02-01,363
Perl,2013-02-01,28430
Shell,2013-02-01,73523
C,2013-02-01,128003
C++,2013-02-01,129150
Java,2013-02-01,270047
,2013-02-01,577562
Objective-C,2013-02-01,44098
PHP,2013-02-01,202886
Clojure,2013-02-01,6665
Racket,2013-02-01,1732
Delphi,2013-02-01,1798
Fantom,2013-02-01,8
Go,2013-02-01,7803
Prolog,2013-02-01,1114
PowerShell,2013-02-01,988
Groovy,2013-02-01,6346
Dart,2013-02-01,2170
Kotlin,2013-02-01,144
Lua,2013-02-01,9489
CoffeeScript,2013-02-01,14962
Visual Basic,2013-02-01,1697
D,2013-02-01,2780
Arduino,2013-02-01,1839
VimL,2013-02-01,28012
Emacs Lisp,2013-02-01,12722
Rust,2013-02-01,1921
Assembly,2013-02-01,1766
Nimrod,2013-02-01,2
JavaScript,2013-02-01,457919
Common Lisp,2013-02-01,2261
Fancy,2013-02-01,16
Vala,2013-02-01,404
R,2013-02-01,6440
Python,2013-02-01,203700
Objective-J,2013-02-01,405
Matlab,2013-02-01,5774
Smalltalk,2013-01-01,615
Groovy,2013-01-01,6491
Matlab,2013-01-01,6348
Erlang,2013-01-01,6395
Emacs Lisp,2013-01-01,14142
Delphi,2013-01-01,1947
CoffeeScript,2013-01-01,14807
Go,2013-01-01,9467
Scala,2013-01-01,17833
Shell,2013-01-01,74960
PHP,2013-01-01,218008
C#,2013-01-01,46167
VimL,2013-01-01,28064
C,2013-01-01,133043
,2013-01-01,502268
Perl,2013-01-01,27646
Java,2013-01-01,284459
Ruby,2013-01-01,235272
JavaScript,2013-01-01,465737
Puppet,2013-01-01,4638
ActionScript,2013-01-01,5407
Python,2013-01-01,203585
C++,2013-01-01,132682
Lua,2013-01-01,11928
Objective-C,2013-01-01,47624
Clojure,2013-01-01,7870
AppleScript,2013-01-01,260
Tcl,2013-01-01,613
Bro,2013-01-01,8
Ecl,2013-01-01,6
Kotlin,2013-01-01,166
F#,2013-01-01,746
Assembly,2013-01-01,1497
DCPU-16-01 ASM,2013-01-01,144
Dylan,2013-01-01,51
Max/MSP,2013-01-01,1
Rebol,2013-01-01,57
Mirah,2013-01-01,22
Ioke,2013-01-01,15
eC,2013-01-01,6
Fancy,2013-01-01,12
Opa,2013-01-01,19
Self,2013-01-01,49
Arc,2013-01-01,4
Haskell,2013-01-01,11454
OCaml,2013-01-01,3309
Prolog,2013-01-01,1110
Common Lisp,2013-01-01,2169
Scheme,2013-01-01,1384
R,2013-01-01,6532
Nemerle,2013-01-01,100
ASP,2013-01-01,1376
Julia,2013-01-01,1428
XQuery,2013-01-01,191
Elixir,2013-01-01,532
VHDL,2013-01-01,577
Factor,2013-01-01,147
Verilog,2013-01-01,583
ooc,2013-01-01,113
Nu,2013-01-01,3
Logtalk,2013-01-01,72
Parrot,2013-01-01,135
AutoHotkey,2013-01-01,215
Ada,2013-01-01,296
Augeas,2013-01-01,62
Ceylon,2013-01-01,26
Dart,2013-01-01,1981
PowerShell,2013-01-01,1050
Vala,2013-01-01,408
Pure Data,2013-01-01,87
Gosu,2013-01-01,59
SuperCollider,2013-01-01,50
Racket,2013-01-01,1914
Boo,2013-01-01,74
Coq,2013-01-01,244
Turing,2013-01-01,50
Apex,2013-01-01,184
ColdFusion,2013-01-01,976
OpenEdge ABL,2013-01-01,395
Io,2013-01-01,55
Standard ML,2013-01-01,337
Rust,2013-01-01,1363
HaXe,2013-01-01,1176
Arduino,2013-01-01,2106
D,2013-01-01,2832
FORTRAN,2013-01-01,1586
Visual Basic,2013-01-01,1353
Max,2013-01-01,70
Nimrod,2013-01-01,6
Eiffel,2013-01-01,144
Scilab,2013-01-01,235
Objective-J,2013-01-01,492
PHP,2012-12-01,197043
Vala,2012-12-01,353
Python,2012-12-01,193730
,2012-12-01,233663
JavaScript,2012-12-01,415038
Java,2012-12-01,270868
Haskell,2012-12-01,11930
C++,2012-12-01,125093
Ruby,2012-12-01,222227
Nu,2012-12-01,10
Objective-C,2012-12-01,39156
Fantom,2012-12-01,2
Shell,2012-12-01,67530
C#,2012-12-01,48435
Standard ML,2012-12-01,528
Matlab,2012-12-01,3899
C,2012-12-01,122113
Perl,2012-12-01,25245
Lua,2012-12-01,11756
D,2012-12-01,2358
Scala,2012-12-01,16006
Elixir,2012-12-01,388
Nimrod,2012-12-01,37
ooc,2012-12-01,303
Erlang,2012-12-01,5241
F#,2012-12-01,1305
ASP,2012-12-01,1428
Prolog,2012-12-01,908
ActionScript,2012-12-01,5775
Clojure,2012-12-01,7519
VHDL,2012-12-01,616
R,2012-12-01,6244
ColdFusion,2012-12-01,1227
Visual Basic,2012-12-01,1482
FORTRAN,2012-12-01,1299
Groovy,2012-12-01,5413
Scheme,2012-12-01,1833
Dart,2012-12-01,1288
Racket,2012-12-01,1736
Objective-J,2012-12-01,238
DCPU-16-01 ASM,2012-12-01,161
Pure Data,2012-12-01,111
Tcl,2012-12-01,498
Self,2012-12-01,11
CoffeeScript,2012-12-01,13787
Arduino,2012-12-01,2132
Kotlin,2012-12-01,114
Julia,2012-12-01,1656
Verilog,2012-12-01,622
OCaml,2012-12-01,4164
VimL,2012-12-01,25469
Go,2012-12-01,9799
Assembly,2012-12-01,1573
Emacs Lisp,2012-12-01,11720
Eiffel,2012-12-01,297
Rust,2012-12-01,1220
Puppet,2012-12-01,4479
eC,2012-12-01,1
Parrot,2012-12-01,99
Dylan,2012-12-01,101
Coq,2012-12-01,332
AutoHotkey,2012-12-01,226
Ioke,2012-12-01,14
Common Lisp,2012-12-01,2417
Delphi,2012-12-01,1882
Turing,2012-12-01,25
Max,2012-12-01,52
Arc,2012-12-01,34
OpenEdge ABL,2012-12-01,367
Logtalk,2012-12-01,133
HaXe,2012-12-01,874
Smalltalk,2012-12-01,402
PowerShell,2012-12-01,1031
Ceylon,2012-12-01,22
Nemerle,2012-12-01,50
Io,2012-12-01,63
Factor,2012-12-01,76
AppleScript,2012-12-01,257
XQuery,2012-12-01,149
Mirah,2012-12-01,17
Fancy,2012-12-01,23
Bro,2012-12-01,3
Opa,2012-12-01,12
Ecl,2012-12-01,19
Ada,2012-12-01,243
Apex,2012-12-01,195
Scilab,2012-12-01,116
Gosu,2012-12-01,79
Augeas,2012-12-01,59
Rebol,2012-12-01,30
Boo,2012-12-01,69
SuperCollider,2012-12-01,63
Racket,2012-11-01,2335
Visual Basic,2012-11-01,1832
CoffeeScript,2012-11-01,13079
Prolog,2012-11-01,835
ActionScript,2012-11-01,5812
Lua,2012-11-01,10828
Erlang,2012-11-01,6674
Rust,2012-11-01,1133
Puppet,2012-11-01,5653
Rebol,2012-11-01,57
OCaml,2012-11-01,2907
PowerShell,2012-11-01,1028
F#,2012-11-01,1075
Scheme,2012-11-01,1343
Arc,2012-11-01,63
OpenEdge ABL,2012-11-01,477
FORTRAN,2012-11-01,1490
XQuery,2012-11-01,177
Nemerle,2012-11-01,49
Max,2012-11-01,19
Clojure,2012-11-01,7615
Ruby,2012-11-01,233071
PHP,2012-11-01,209353
,2012-11-01,239886
C++,2012-11-01,124315
Python,2012-11-01,206203
C,2012-11-01,127191
Common Lisp,2012-11-01,2753
R,2012-11-01,5991
VimL,2012-11-01,28933
Shell,2012-11-01,63306
Emacs Lisp,2012-11-01,11704
Matlab,2012-11-01,3144
Groovy,2012-11-01,6381
Objective-J,2012-11-01,184
Assembly,2012-11-01,1908
Haskell,2012-11-01,12262
Io,2012-11-01,44
Scala,2012-11-01,15549
Perl,2012-11-01,28803
Arduino,2012-11-01,1949
D,2012-11-01,2828
C#,2012-11-01,49204
Go,2012-11-01,9245
Objective-C,2012-11-01,42697
Fancy,2012-11-01,5
Opa,2012-11-01,33
Ceylon,2012-11-01,23
Parrot,2012-11-01,127
Factor,2012-11-01,61
Boo,2012-11-01,150
AutoHotkey,2012-11-01,324
Self,2012-11-01,6
Ioke,2012-11-01,18
Coq,2012-11-01,307
DCPU-16-01 ASM,2012-11-01,125
Pure Data,2012-11-01,117
HaXe,2012-11-01,1259
eC,2012-11-01,2
AppleScript,2012-11-01,106
Nu,2012-11-01,77
Kotlin,2012-11-01,129
Logtalk,2012-11-01,106
Standard ML,2012-11-01,299
Vala,2012-11-01,421
Eiffel,2012-11-01,274
Augeas,2012-11-01,45
JavaScript,2012-11-01,426480
Java,2012-11-01,287500
Fantom,2012-11-01,1
Bro,2012-11-01,22
Delphi,2012-11-01,1646
ASP,2012-11-01,1830
Tcl,2012-11-01,387
Apex,2012-11-01,475
Julia,2012-11-01,852
ColdFusion,2012-11-01,1471
Dart,2012-11-01,2217
Verilog,2012-11-01,938
Dylan,2012-11-01,100
Elixir,2012-11-01,337
Gosu,2012-11-01,27
Ecl,2012-11-01,15
ooc,2012-11-01,113
Turing,2012-11-01,2
VHDL,2012-11-01,845
Mirah,2012-11-01,6
Nimrod,2012-11-01,22
Smalltalk,2012-11-01,466
SuperCollider,2012-11-01,179
Scilab,2012-11-01,83
Ada,2012-11-01,118
Coq,2012-10-01,396
Tcl,2012-10-01,335
Ceylon,2012-10-01,23
SuperCollider,2012-10-01,138
Fancy,2012-10-01,33
Bro,2012-10-01,29
Turing,2012-10-01,9
Boo,2012-10-01,79
XQuery,2012-10-01,95
Mirah,2012-10-01,2
Objective-C,2012-10-01,38970
Arc,2012-10-01,17
Python,2012-10-01,201615
Shell,2012-10-01,62534
C++,2012-10-01,114963
Scala,2012-10-01,14614
PHP,2012-10-01,199536
Erlang,2012-10-01,6584
Java,2012-10-01,262720
,2012-10-01,230494
Ruby,2012-10-01,229309
Ioke,2012-10-01,26
Emacs Lisp,2012-10-01,12071
C,2012-10-01,124718
JavaScript,2012-10-01,426622
Dart,2012-10-01,2162
Lua,2012-10-01,9559
Groovy,2012-10-01,5757
Haskell,2012-10-01,10576
R,2012-10-01,5997
VimL,2012-10-01,28697
Clojure,2012-10-01,8193
Prolog,2012-10-01,834
Kotlin,2012-10-01,135
Apex,2012-10-01,258
Parrot,2012-10-01,171
Eiffel,2012-10-01,196
Nu,2012-10-01,44
Pure Data,2012-10-01,124
DCPU-16-01 ASM,2012-10-01,94
Gosu,2012-10-01,54
Rebol,2012-10-01,22
Nimrod,2012-10-01,32
Ada,2012-10-01,174
Elixir,2012-10-01,550
Io,2012-10-01,32
AppleScript,2012-10-01,114
Dylan,2012-10-01,42
Opa,2012-10-01,124
Fantom,2012-10-01,9
Scilab,2012-10-01,80
