repository_language,month,commits
Moocode,2014-06-01,1
Omgrofl,2014-06-01,1
XQuery,2014-06-01,812
IDL,2014-06-01,2592
Ioke,2014-06-01,1
E,2014-06-01,1
Volt,2014-06-01,9
Shen,2014-06-01,3
JSONiq,2014-06-01,46
C#,2014-06-01,235088
XC,2014-06-01,254
Forth,2014-06-01,59
M,2014-06-01,598
Rebol,2014-06-01,173
NetLogo,2014-06-01,218
PHP,2014-06-01,689784
Groovy,2014-06-01,24577
CoffeeScript,2014-06-01,80278
C++,2014-06-01,480760
Bluespec,2014-06-01,256
Go,2014-06-01,130499
Logtalk,2014-06-01,122
Crystal,2014-06-01,291
Delphi,2014-06-01,79
Lasso,2014-06-01,260
Nu,2014-06-01,24
Component Pascal,2014-06-01,80
Frege,2014-06-01,90
JavaScript,2014-06-01,1810145
Rouge,2014-06-01,7
Scilab,2014-06-01,77
CSS,2014-06-01,632201
Perl,2014-06-01,66044
Java,2014-06-01,1045039
Python,2014-06-01,904522
Shell,2014-06-01,242453
C,2014-06-01,489748
Objective-C,2014-06-01,192671
Matlab,2014-06-01,18519
Max,2014-06-01,1254
ActionScript,2014-06-01,10875
Oxygene,2014-06-01,19
,2014-06-01,1593343
Clean,2014-06-01,88
Monkey,2014-06-01,36
Augeas,2014-06-01,180
Standard ML,2014-06-01,1586
Factor,2014-06-01,459
Nemerle,2014-06-01,560
Xtend,2014-06-01,774
R,2014-06-01,71542
Racket,2014-06-01,2799
Erlang,2014-06-01,19769
OCaml,2014-06-01,10167
Haskell,2014-06-01,42079
PowerShell,2014-06-01,7813
Inform 7,2014-06-01,656
Scala,2014-06-01,82092
TeX,2014-06-01,48757
VimL,2014-06-01,59686
Clojure,2014-06-01,28867
Ruby,2014-06-01,713954
LiveScript,2014-06-01,2339
Mercury,2014-06-01,512
Stata,2014-06-01,739
xBase,2014-06-01,851
Parrot,2014-06-01,82
Julia,2014-06-01,16083
MoonScript,2014-06-01,241
Logos,2014-06-01,1543
Grammatical Framework,2014-06-01,17
Mathematica,2014-06-01,222
Brightscript,2014-06-01,324
Slash,2014-06-01,299
Coq,2014-06-01,954
SuperCollider,2014-06-01,410
REALbasic,2014-06-01,153
PureScript,2014-06-01,489
Elm,2014-06-01,643
GAP,2014-06-01,359
Propeller Spin,2014-06-01,572
Apex,2014-06-01,1993
AutoHotkey,2014-06-01,1423
VHDL,2014-06-01,1556
Turing,2014-06-01,20
VCL,2014-06-01,63
Ragel in Ruby Host,2014-06-01,61
Red,2014-06-01,290
Nix,2014-06-01,43
Harbour,2014-06-01,24
Dylan,2014-06-01,416
Fantom,2014-06-01,79
ATS,2014-06-01,190
ooc,2014-06-01,44
Ecl,2014-06-01,41
SourcePawn,2014-06-01,1172
Scheme,2014-06-01,5115
ColdFusion,2014-06-01,2948
wisp,2014-06-01,22
Squirrel,2014-06-01,304
Arduino,2014-06-01,8303
Objective-C++,2014-06-01,2383
PAWN,2014-06-01,148
XML,2014-06-01,915
COBOL,2014-06-01,441
Eiffel,2014-06-01,2480
nesC,2014-06-01,2948
Cuda,2014-06-01,2396
SAS,2014-06-01,2758
Awk,2014-06-01,338
Pascal,2014-06-01,4887
Gnuplot,2014-06-01,962
BlitzBasic,2014-06-01,1260
Zephir,2014-06-01,18
GAMS,2014-06-01,25
CLIPS,2014-06-01,14
RobotFramework,2014-06-01,21
Glyph,2014-06-01,29
ANTLR,2014-06-01,158
Pan,2014-06-01,354
Hy,2014-06-01,42
KRL,2014-06-01,254
Game Maker Language,2014-06-01,1732
eC,2014-06-01,50
XProc,2014-06-01,134
Arc,2014-06-01,141
Rust,2014-05-01,25433
Logos,2014-05-01,2177
eC,2014-05-01,25
TeX,2014-05-01,65706
Verilog,2014-05-01,2450
SystemVerilog,2014-05-01,242
Mathematica,2014-05-01,154
Self,2014-05-01,30
Glyph,2014-05-01,60
Slash,2014-05-01,564
AppleScript,2014-05-01,920
ANTLR,2014-05-01,406
XC,2014-05-01,229
Agda,2014-05-01,417
Dylan,2014-05-01,426
Scala,2014-05-01,82026
Elixir,2014-05-01,6306
Mercury,2014-05-01,651
ATS,2014-05-01,468
Propeller Spin,2014-05-01,219
Pure Data,2014-05-01,448
AutoIt,2014-05-01,601
Brightscript,2014-05-01,185
Rebol,2014-05-01,970
RobotFramework,2014-05-01,35
Game Maker Language,2014-05-01,1421
Groovy,2014-05-01,24467
Assembly,2014-05-01,8021
Lua,2014-05-01,40957
Nu,2014-05-01,51
Ada,2014-05-01,737
Puppet,2014-05-01,22245
Arduino,2014-05-01,9700
IDL,2014-05-01,2397
VimL,2014-05-01,60322
R,2014-05-01,71445
Racket,2014-05-01,3592
Erlang,2014-05-01,20181
D,2014-05-01,11371
SQL,2014-05-01,22733
Objective-C,2014-05-01,242050
ASP,2014-05-01,6386
Emacs Lisp,2014-05-01,31979
Julia,2014-05-01,12784
Ceylon,2014-05-01,565
Haxe,2014-05-01,8342
Objective-J,2014-05-01,1131
Matlab,2014-05-01,18055
CSS,2014-05-01,661003
Stata,2014-05-01,451
Shell,2014-05-01,246970
Haskell,2014-05-01,41590
C#,2014-05-01,264093
Lasso,2014-05-01,328
Delphi,2014-05-01,82
Eiffel,2014-05-01,2533
Go,2014-05-01,119711
Clojure,2014-05-01,30323
CoffeeScript,2014-05-01,95989
Scheme,2014-05-01,7536
Dogescript,2014-05-01,11
Turing,2014-05-01,21
DCPU-16-01 ASM,2014-05-01,2
REALbasic,2014-05-01,393
ooc,2014-05-01,2
E,2014-05-01,1
Java,2014-05-01,1181326
Oxygene,2014-05-01,15
Cirru,2014-05-01,5
Mirah,2014-05-01,5
PHP,2014-05-01,734319
Opa,2014-05-01,2
Python,2014-05-01,928777
,2014-05-01,1848739
Ruby,2014-05-01,773934
Alloy,2014-05-01,174
XQuery,2014-05-01,910
Augeas,2014-05-01,209
LiveScript,2014-05-01,2012
Factor,2014-05-01,252
Perl,2014-05-01,68727
Visual Basic,2014-05-01,7346
Rouge,2014-05-01,5
ABAP,2014-05-01,21
Standard ML,2014-05-01,1280
Idris,2014-05-01,410
Io,2014-05-01,103
Frege,2014-05-01,76
Elm,2014-05-01,494
GAP,2014-05-01,319
Red,2014-05-01,117
Gnuplot,2014-05-01,415
CLIPS,2014-05-01,179
XProc,2014-05-01,137
AspectJ,2014-05-01,232
xBase,2014-05-01,733
Boo,2014-05-01,156
Xtend,2014-05-01,947
Gosu,2014-05-01,944
ActionScript,2014-05-01,13132
HaXe,2014-05-01,223
PureScript,2014-05-01,761
Ecl,2014-05-01,44
Coq,2014-05-01,939
NetLogo,2014-05-01,829
Max,2014-05-01,1174
Logtalk,2014-05-01,98
Apex,2014-05-01,1657
COBOL,2014-05-01,380
Common Lisp,2014-05-01,6038
Bluespec,2014-05-01,259
OCaml,2014-05-01,11077
DOT,2014-05-01,834
OpenEdge ABL,2014-05-01,1373
Awk,2014-05-01,250
Nimrod,2014-05-01,884
Perl6,2014-05-01,478
F#,2014-05-01,7162
Forth,2014-05-01,39
Tcl,2014-05-01,1825
